station id,station name,station latitude,station longitude
531,Forsyth St & Broome St,40.718939,-73.992663
532,S 5 Pl & S 4 St,40.710451,-73.960876
533,Broadway & W 39 St,40.752996,-73.987216
534,Water - Whitehall Plaza,40.702551,-74.012723
536,1 Ave & E 30 St,40.741444,-73.975361
537,Lexington Ave & E 24 St,40.740259,-73.984092
539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241
540,Lexington Ave & E 29 St,40.743116,-73.982154
545,E 23 St & 1 Ave,40.736502,-73.978095
546,E 30 St & Park Ave S,40.744449,-73.983035
2000,Front St & Washington St,40.702551,-73.989402
2001,Sands St & Navy St,40.699773,-73.979927
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198
2003,1 Ave & E 18 St,40.733812,-73.980544
2004,6 Ave & Broome St,40.724399,-74.004704
2005,Railroad Ave & Kay Ave,40.705312,-73.971001
2006,Central Park S & 6 Ave,40.765909,-73.976342
2008,Little West St & 1 Pl,40.705693,-74.016777
2009,Catherine St & Monroe St,40.711174,-73.996826
2010,Grand St & Greene St,40.721655,-74.002347
2012,E 27 St & 1 Ave,40.739445,-73.976806
2017,E 43 St & 2 Ave,40.750224,-73.971214
2021,W 45 St & 8 Ave,40.759291,-73.988597
2022,E 60 St & York Ave,40.759107,-73.959223
2023,E 55 St & Lexington Ave,40.759681,-73.970314
3002,South End Ave & Liberty St,40.711512,-74.015756
3016,Kent Ave & N 7 St,40.720368,-73.961651
3041,Kingston Ave & Herkimer St,40.678907,-73.941428
3042,Fulton St & Utica Ave,40.679427,-73.929891
3043,Lewis Ave & Decatur St,40.68146,-73.934903
3044,Albany Ave & Fulton St,40.680011,-73.938475
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
3047,Halsey St & Tompkins Ave,40.682369,-73.944118
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304
3050,Putnam Ave & Throop Ave,40.685153,-73.94111
3052,Lewis Ave & Madison St,40.686312,-73.935775
3053,Marcy Ave & Lafayette Ave,40.690081,-73.947915
3054,Greene Ave & Throop Ave,40.689493,-73.942061
3055,Greene Ave & Nostrand Ave,40.688334,-73.950916
3056,Kosciuszko St & Nostrand Ave,40.690725,-73.951335
3057,Kosciuszko St & Tompkins Ave,40.691283,-73.945242
3058,Lewis Ave & Kosciuszko St,40.692371,-73.937054
3059,Pulaski St & Marcus Garvey Blvd,40.693398,-73.939877
3060,Willoughby Ave & Tompkins Ave,40.694254,-73.946269
3061,Throop Ave & Myrtle Ave,40.696229,-73.943711
3062,Myrtle Ave & Marcy Ave,40.695398,-73.949549
3063,Nostrand Ave & Myrtle Ave,40.69527,-73.952381
3064,Myrtle Ave & Lewis Ave,40.69682,-73.937569
3065,Union Ave & Wallabout St,40.700295,-73.950323
3066,Tompkins Ave & Hopkins St,40.699576,-73.947084
3067,Broadway & Whiple St,40.701666,-73.94373
3068,Humboldt St & Varet St,40.703172,-73.940636
3069,Lorimer St & Broadway,40.704118,-73.948186
3070,McKibbin St & Manhattan Ave,40.705109,-73.944073
3071,Boerum St & Broadway,40.705381,-73.949765
3072,Leonard St & Boerum St,40.705833,-73.946446
3073,Division Ave & Hooper St,40.706913,-73.954417
3074,Montrose Ave & Bushwick Ave,40.707678,-73.940162
3075,Division Ave & Marcy Ave,40.707087,-73.957968
3076,Scholes St & Manhattan Ave,40.708704,-73.944862
3077,Stagg St & Union Ave,40.708771,-73.950953
3078,Broadway & Roebling St,40.709256,-73.959822
3079,Leonard St & Grand St,40.711035,-73.947143
3080,S 4 St & Rodney St,40.70934,-73.95608
3081,Graham Ave & Grand St,40.711863,-73.944024
3082,Hope St & Union Ave,40.711674,-73.951413
3083,Bushwick Ave & Powers St,40.712477,-73.941
3083,Bushwick Ave & Poowers St,40.712477,-73.941
3084,Devoe St & Leonard St,40.713487,-73.947925
3085,Roebling St & N 4 St,40.71469,-73.95739
3086,Graham Ave & Conselyea St,40.715143,-73.944507
3087,Metropolitan Ave & Meeker Ave,40.714133,-73.952344
3088,Union Ave & Jackson St,40.716075,-73.952029
3089,Leonard St & Meeker Ave,40.717318,-73.948202
3090,N 8 St & Driggs Ave,40.717746,-73.956001
3091,Frost St & Meeker St,40.71764,-73.94882
3092,Berry St & N 8 St,40.719009,-73.958525
3093,N 6 St & Bedford Ave,40.717452,-73.958509
3094,Graham Ave & Withers St,40.716981,-73.944859
3095,Graham Ave & Herbert St,40.719293,-73.945004
3096,Union Ave & N 12 St,40.71924,-73.95242
3097,N Henry St & Richardson St,40.719216,-73.942447
3098,Leonard St & Bayard St,40.71928,-73.94861
3099,Leonard St & Manhattan Ave,40.721522,-73.948983
3100,Nassau Ave & Newell St,40.724813,-73.947526
3101,N 12 St & Bedford Ave,40.720798,-73.954847
3102,Driggs Ave & Lorimer St,40.721791,-73.950415
3103,N 11 St & Wythe Ave,40.721533,-73.957824
3105,N 15 St & Wythe Ave,40.724055,-73.955736
3106,Driggs Ave & N Henry St,40.72325,-73.94308
3107,Bedford Ave & Nassau Ave,40.723117,-73.952123
3108,Nassau Ave & Russell St,40.72557,-73.94434
3109,Banker St & Meserole Ave,40.72606,-73.95621
3110,Meserole Ave & Manhattan Ave,40.727086,-73.952991
3111,Norman Ave & Leonard St,40.725848,-73.950649
3112,Milton St & Franklin St,40.72906,-73.95779
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
3114,India St & East River,40.731651,-73.961619
3115,India St & Manhattan Ave,40.732322,-73.955086
3116,Huron St & Franklin St,40.73266,-73.95826
3117,Franklin St & Dupont St,40.73564,-73.95866
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284
3119,Vernon Blvd & 50 Ave,40.742327,-73.954117
3120,Center Blvd & Borden Ave,40.74161,-73.96044
3121,Jackson Ave & 46 Rd,40.745248,-73.947333
3122,48 Ave & 5 St,40.744363,-73.955873
3123,31 St & Thomson Ave,40.744697,-73.935404
3124,46 Ave & 5 St,40.74731,-73.95451
3125,45 Rd & 11 St,40.747086,-73.949772
3126,44 Dr & Jackson Ave,40.747182,-73.943264
3127,9 St & 44 Rd,40.74966,-73.9521
3128,21 St & 43 Ave,40.750525,-73.945948
3129,Queens Plaza North & Crescent St,40.751102,-73.940737
3131,E 68 St & 3 Ave,40.767128,-73.962246
3132,E 59 St & Madison Ave,40.763505,-73.971092
3134,3 Ave & E 62 St,40.763126,-73.965269
3135,E 75 St & 3 Ave,40.771129,-73.957723
3136,5 Ave & E 63 St,40.766505,-73.971476
3137,5 Ave & E 73 St,40.772828,-73.966853
3138,E 77 St & Park Ave,40.774405,-73.961753
3139,E 72 St & Park Ave,40.771183,-73.964094
3140,1 Ave & E 78 St,40.771404,-73.953517
3141,1 Ave & E 68 St,40.765005,-73.958185
3142,1 Ave & E 62 St,40.761227,-73.96094
3143,5 Ave & E 78 St,40.776829,-73.963888
3144,E 81 St & Park Ave,40.776777,-73.95901
3145,E 84 St & Park Ave,40.778627,-73.957721
3146,E 81 St & 3 Ave,40.77573,-73.956753
3147,E 85 St & 3 Ave,40.778012,-73.954071
3148,E 84 St & 1 Ave,40.775655,-73.950686
3150,E 85 St & York Ave,40.775369,-73.948034
